"As Of Date","CUSIP","Security Type","Security Description","Term","Maturity Date","Issuer","Spread (%)","Coupon (%)","Current Face Value","Par Value","Inflation Compensation","Percent Outstanding","Change From Prior Week","Change From Prior Year","is Aggregated"
"2021-06-30","'36210LZM8'","MBS","GNMA I MORTPASS 6% 01/29","30yr",,,,,"1250.03",,,,,,""
"2021-06-30","'36291XWC9'","MBS","GNMA I MORTPASS 5% 03/35","30yr",,,,,"1241.9",,,,,,""
"2021-06-30","'3128MBLQ8'","MBS","FHLMCGLD 5.5% 11/22","15yr",,,,,"1237.8",,,,,,""
"2021-06-30","'31414DZQ2'","MBS","UMBS MORTPASS 5% 06/23","15yr",,,,,"1227.51",,,,,,""
"2021-06-30","'31415RVF8'","MBS","UMBS MORTPASS 5% 07/23","15yr",,,,,"1225.92",,,,,,""
"2021-06-30","'3128MMK69'","MBS","FHLMCGLD 4% 07/24","15yr",,,,,"1219.76",,,,,,""
"2021-06-30","'36295DX87'","MBS","GNMA I 5.5% 05/37","30yr",,,,,"1218.52",,,,,,""
"2021-06-30","'36200N6H9'","MBS","GNMA I 4.5% 11/34","30yr",,,,,"1216.91",,,,,,""
"2021-06-30","'36202UCP6'","MBS","GNMA I MORTPASS 5% 09/33","30yr",,,,,"1209.69",,,,,,""
"2021-06-30","'36292DZG0'","MBS","GNMA I MORTPASS 5% 09/35","30yr",,,,,"1208.63",,,,,,""
"2021-06-30","'36200JAK6'","MBS","GNMA I MORTPASS 5% 03/33","30yr",,,,,"1204.32",,,,,,""
"2021-06-30","'36296VWG9'","MBS","GNMA I 5.5% 12/38","30yr",,,,,"1200.47",,,,,,""
"2021-06-30","'36290R7M9'","MBS","GNMA I MORTPASS 5% 10/33","30yr",,,,,"1198.05",,,,,,""
"2021-06-30","'31371LJU4'","MBS","UMBS MORTPASS 5.5% 02/24","Other",,,,,"1189.74",,,,,,""
"2021-06-30","'36297C3F4'","MBS","GNMA I MORTPASS 5% 02/39","30yr",,,,,"1184.14",,,,,,""
"2021-06-30","'3128PJFY8'","MBS","FHLMCGLD 5% 11/22","15yr",,,,,"1183.97",,,,,,""
"2021-06-30","'31371K2W0'","MBS","UMBS MORTPASS 6% 03/23","Other",,,,,"1183.32",,,,,,""
"2021-06-30","'36202EAH2'","MBS","GNMA II 4.5% 08/34","30yr",,,,,"1181.6",,,,,,""
"2021-06-30","'36290N4D1'","MBS","GNMA I MORTPASS 5% 07/33","30yr",,,,,"1178.05",,,,,,""
"2021-06-30","'36296AJT2'","MBS","GNMA I 5.5% 04/38","30yr",,,,,"1167.3",,,,,,""
"2021-06-30","'3620C1VJ2'","MBS","GNMA I 3.5% 10/41","30yr",,,,,"1167.1",,,,,,""
"2021-06-30","'36291LKT1'","MBS","GNMA I MORTPASS 5% 09/35","30yr",,,,,"1165.74",,,,,,""
"2021-06-30","'36295H6K1'","MBS","GNMA I 5.5% 08/37","30yr",,,,,"1160.93",,,,,,""
"2021-06-30","'3128PP6K4'","MBS","FHLMCGLD 4.5% 09/24","15yr",,,,,"1157.52",,,,,,""
"2021-06-30","'31382TEM7'","MBS","UMBS MORTPASS 6% 04/29","30yr",,,,,"1154.64",,,,,,""
"2021-06-30","'31405XCQ4'","MBS","UMBS MORTPASS 5% 11/34","30yr",,,,,"1151.87",,,,,,""
"2021-06-30","'31419JMT2'","MBS","UMBS MORTPASS 3.5% 11/25","15yr",,,,,"1142.48",,,,,,""
"2021-06-30","'3128LDSY1'","MBS","FHLMCGLD 6% 07/38","30yr",,,,,"1139.7",,,,,,""
"2021-06-30","'36202EWB1'","MBS","GNMA II 4.5% 09/38","30yr",,,,,"1133.28",,,,,,""
"2021-06-30","'3140E9HS8'","MBS","UMBS MORTPASS 4% 12/45","30yr",,,,,"1132.92",,,,,,""
"2021-06-30","'3138YEKY2'","MBS","UMBS MORTPASS 4.5% 01/45","30yr",,,,,"1129.11",,,,,,""
"2021-06-30","'31418AEW4'","MBS","UMBS MORTPASS 3.5% 04/22","Other",,,,,"1118.75",,,,,,""
"2021-06-30","'36291HTN4'","MBS","GNMA I MORTPASS 5% 03/34","30yr",,,,,"1117.79",,,,,,""
"2021-06-30","'36200KFE2'","MBS","GNMA I MORTPASS 5% 05/34","30yr",,,,,"1117.17",,,,,,""
"2021-06-30","'36292DC26'","MBS","GNMA I MORTPASS 5% 10/35","30yr",,,,,"1113",,,,,,""
"2021-06-30","'3128MBF77'","MBS","FHLMCGLD 4.5% 06/22","15yr",,,,,"1109.88",,,,,,""
"2021-06-30","'36292ETJ9'","MBS","GNMA I 5.5% 08/35","30yr",,,,,"1104.27",,,,,,""
"2021-06-30","'31412QVW6'","MBS","UMBS MORTPASS 4% 12/24","15yr",,,,,"1096.45",,,,,,""
