GNR 2002-042 , 1 , 0.14073020436036576 , 0.1386702595756253 , 0.12468795348065398 , 0.12455937975631681 , 0.018126884706150093 , 0.015942210385131883
GNR 2002-042 , 2 , 0.1378958602249828 , 0.13558897526300573 , 0.12110909412919268 , 0.12100950574045843 , 0.018897351763141557 , 0.016410623024601723
GNR 2002-042 , 3 , 0.12792491505237447 , 0.12714008511419383 , 0.12325148032816902 , 0.1231762816847689 , 0.005272448127241147 , 0.004471490680971968
GNR 2002-042 , 4B , 0.19575330434494242 , 0.19575330434494242 , 0.19575329935053853 , 0.19575329935053853 , 6.098319182967771e-09 , 6.098319182967771e-09
GNR 2002-042 , 5 , 0.12456672858214068 , 0.12456672858214068 , 0.12218547206594677 , 0.12218547206594677 , 0.002683445745224722 , 0.002683445745224722
GNR 2002-042 , 6 , 0.1322688026505816 , 0.13180488836522264 , 0.1278946030562501 , 0.12780069230982938 , 0.0049589345640780325 , 0.0045390114505303725
GNR 2002-046 , 1 , 0.12788120188357155 , 0.1272596626287671 , 0.12400057151653476 , 0.12391709470278311 , 0.004381439278731136 , 0.0037735966181200453
GNR 2002-049 , 1 , 0.14798589324155986 , 0.14545197580540792 , 0.12437295789769365 , 0.12429229609527426 , 0.026673729555664827 , 0.02390010935264386
GNR 2002-049 , 2 , 0.13419673542491617 , 0.13355559321756216 , 0.12820608212737283 , 0.12808808319040044 , 0.0067937635252783846 , 0.006199698470065962
GNR 2002-051 , 1A , 0.1336903988593413 , 0.13253766509858167 , 0.12262684087506193 , 0.1225126318645231 , 0.01247392631847144 , 0.011301595414118348
GNR 2002-051 , 2 , 0.14017023083212987 , 0.13792041021773804 , 0.12567588787273587 , 0.1255224042403421 , 0.01639465933684059 , 0.014021045799078702
GNR 2002-052 , 1 , 0.14155722744710053 , 0.13915696070002936 , 0.1248878827362262 , 0.12472758714957655 , 0.018839484453553212 , 0.016304943038870423
GNR 2002-052 , 2 , 0.14291142808533353 , 0.14101182600531426 , 0.12437960337521059 , 0.12429215894092649 , 0.02093350904430502 , 0.01888456927231219
